elomr�de,kraftslag,Antal anl�ggningar 2015,Antal anl�ggningar 2016,Antal anl�ggningar 2017,Antal anl�ggningar 2018,Antal anl�ggningar 2019,Antal anl�ggningar 2020,Antal anl�ggningar 2021,"Installerad generatoreffekt, MW 2015","Installerad generatoreffekt, MW 2016","Installerad generatoreffekt, MW 2017","Installerad generatoreffekt, MW 2018","Installerad generatoreffekt, MW 2019","Installerad generatoreffekt, MW 2020","Installerad generatoreffekt, MW 2021","Bruttoproduktion, GWh 2015","Bruttoproduktion, GWh 2016","Bruttoproduktion, GWh 2017","Bruttoproduktion, GWh 2018","Bruttoproduktion, GWh 2019","Bruttoproduktion, GWh 2020","Bruttoproduktion, GWh 2021"
Riket,vattenkraft,989,991,977,968,990,938,907,16329,16466,16502,16431,16462,16406,16407,75439,62255,65168,62250,65393,72440,73926
Riket,vindkraft,3174,3334,3376,3569,3976,4286,4754,5840,6434,6611,7300,8681,9976,12116,16268,15479,17609,16623,19847,27526,27244
Riket,solkraft,..,10006,15276,25486,43944,65819,92311,..,152,244,411,698,1090,1587,..,143,230,391,663,1035,1507
Riket,k�rnkraft,3,3,3,3,3,3,3,9688,9768,8999,8656,8624,7777,6899,56348,63101,65696,68549,66130,49198,52965
Riket,"konventionell v�rmekraft (industriellt mottryck, kraftv�rme, kondenskraft, gasturbiner, annan)",166,165,161,163,168,166,172,7551,7495,7442,8408,8343,8406,7725,13906,15151,15547,15572,16390,13619,16138
SE1,vattenkraft,40,39,39,40,40,40,47,5161,5239,5239,5243,5252,5243,5357,19623,20252,19203,18851,18424,18841,22299
SE1,vindkraft,216,229,236,337,462,530,609,476,510,523,863,1287,1563,1892,1321,1147,1362,1449,2441,4052,4590
SE1,solkraft,..,58,94,179,308,513,701,..,1,3,4,6,9,19,..,1,2,4,6,8,18
SE1,k�rnkraft,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SE1,"konventionell v�rmekraft (industriellt mottryck, kraftv�rme, kondenskraft, gasturbiner, annan)",10,10,10,10,11,11,11,286,285,285,285,296,296,296,1331,1470,1583,1588,1299,1409,1461
SE2,vattenkraft,236,235,236,229,236,228,219,8189,8227,8141,8192,8209,8198,8083,41944,31697,36129,33911,35356,41225,39060
SE2,vindkraft,802,908,915,896,1078,1254,1553,1985,1457,2347,2335,2922,3693,5021,5301,3449,6326,5869,6262,10409,10666
SE2,solkraft,..,588,918,1441,2439,3754,5268,..,6,11,22,38,60,83,..,6,11,21,36,57,79
SE2,k�rnkraft,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SE2,"konventionell v�rmekraft (industriellt mottryck, kraftv�rme, kondenskraft, gasturbiner, annan)",19,16,16,19,19,18,17,610,466,467,637,637,635,710,2323,2319,2396,2287,2954,2618,2878
SE3,vattenkraft,580,589,575,574,587,554,528,2661,2680,2796,2676,2679,2646,2653,12542,9298,8642,8499,10362,11100,11342
SE3,vindkraft,1282,1295,1260,1373,1463,1527,1567,2035,2163,2120,2472,2819,3059,3279,5959,5360,5557,5587,6950,8585,8007
SE3,solkraft,..,6881,10400,17440,29812,44747,61941,..,105,167,279,470,745,1055,..,98,156,265,447,708,1002
SE3,k�rnkraft,3,3,3,3,3,3,3,9688,9768,8999,8656,8624,7777,6899,56348,63101,65696,68549,66130,49198,52965
SE3,"konventionell v�rmekraft (industriellt mottryck, kraftv�rme, kondenskraft, gasturbiner, annan)",100,101,97,95,98,97,103,4308,4196,4138,4966,4914,4987,4602,6940,8090,8692,8828,9266,7197,8711
SE4,vattenkraft,133,128,127,125,127,116,113,318,320,326,320,322,319,314,1330,1008,1193,989,1251,1274,1225
SE4,vindkraft,874,902,965,963,973,975,1025,1344,2304,1621,1631,1653,1662,1924,3687,5524,4365,3718,4193,4480,3981
SE4,solkraft,..,2479,3864,6426,11385,16805,24401,..,40,64,105,185,275,430,..,38,60,100,175,262,408
SE4,k�rnkraft,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SE4,"konventionell v�rmekraft (industriellt mottryck, kraftv�rme, kondenskraft, gasturbiner, annan)",37,38,38,39,40,40,41,2547,2548,2552,2520,2496,2488,2117,3312,3272,2876,2869,2871,2395,3088
