land,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09
Total Export,2484,2685,3123,2800,2632,3913,3598,2620,2420,2870,2905,3181,3588,3201,3712,3258,2359,2472,3603,2609,2693,3221,2898,3208,2558,2465,3100,3423,2725,2224,3057,2399,2401,3193,3344,3022,3350,2867,3306,2795,3230,3363,4404,3928,2714
Total Import,1378,767,749,548,296,194,669,1247,960,712,849,702,355,731,607,640,914,1190,1281,1519,1340,1512,291,1449,1374,1247,579,345,818,527,687,453,443,253,575,1039,635,363,323,355,422,683,359,391,160
Export Finland,1417,1085,1080,980,1052,1179,1695,1533,1586,1451,1468,1226,1239,1497,1710,1648,1659,1357,1758,1616,1330,1648,1392,1517,1238,1269,1224,1278,1114,1252,1604,1291,1219,881,1288,1357,1412,1246,922,797,1096,1501,1763,1516,1030
Export Litauen,222,195,183,278,269,456,410,438,289,392,236,202,409,445,478,467,44,271,404,246,289,380,363,391,305,326,250,207,182,183,390,332,172,410,331,357,461,386,362,293,348,412,501,486,432
Export Norge,438,720,1216,747,528,646,116,70,24,431,565,974,679,590,305,194,64,17,37,0,1,53,341,185,121,300,572,655,279,45,44,141,55,396,296,182,279,261,254,490,275,67,187,174,410
Export Polen,216,244,275,287,270,310,313,9,225,337,311,277,259,172,392,340,307,397,374,309,243,357,327,342,266,273,358,350,279,207,228,259,157,403,346,305,345,219,377,319,351,321,428,429,147
Export Tyskland,81,103,90,110,116,237,223,86,98,18,66,104,388,223,294,226,25,202,229,61,142,298,183,278,206,79,171,331,203,70,151,44,136,309,349,220,297,246,383,237,268,204,334,324,276
Export Danmark,109,338,280,398,397,1084,841,483,197,241,259,397,614,274,534,383,260,228,801,377,688,485,292,495,422,218,525,602,668,467,640,332,662,794,734,601,556,509,1008,659,892,858,1191,999,419
Import Danmark,485,278,465,200,54,15,76,169,211,286,243,323,78,384,152,90,160,124,43,126,62,89,196,144,234,472,114,96,183,45,41,215,15,17,64,268,116,114,25,113,56,11,7,0,56
Import Finland,0,7,19,11,9,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,0,0,1,0,2,0,0,0,0,0,9,5,1,2,3,5
Import Litauen,54,59,61,18,4,0,0,3,0,5,25,53,4,5,3,0,0,3,5,35,23,2,11,4,19,13,35,25,50,33,1,3,25,11,20,17,3,3,5,6,3,0,0,0,0
Import Norge,708,321,121,251,206,164,574,984,706,389,503,253,268,323,442,529,753,984,1233,1253,1229,1407,1,1264,1077,656,395,207,525,427,637,175,364,221,469,675,498,227,286,206,336,667,349,388,93
Import Polen,79,49,30,2,0,0,0,0,0,3,8,17,2,1,0,1,1,1,0,3,1,1,3,0,14,9,1,8,16,9,1,41,35,1,18,56,11,5,3,8,12,2,1,0,0
Import Tyskland,53,54,55,67,21,13,18,91,42,28,69,53,2,18,10,20,0,78,0,102,25,13,80,37,29,97,31,9,38,13,7,18,4,1,4,23,7,14,4,13,10,2,0,0,6
