"varuslag";"2018M01";"2018M02";"2018M03";"2018M04";"2018M05";"2018M06";"2018M07";"2018M08";"2018M09";"2018M10";"2018M11";"2018M12";"2019M01";"2019M02";"2019M03";"2019M04";"2019M05";"2019M06";"2019M07";"2019M08";"2019M09";"2019M10";"2019M11";"2019M12";"2020M01";"2020M02";"2020M03";"2020M04";"2020M05";"2020M06";"2020M07";"2020M08";"2020M09";"2020M10";"2020M11";"2020M12";"2021M01";"2021M02";"2021M03";"2021M04";"2021M05";"2021M06";"2021M07";"2021M08";"2021M09";"2021M10";"2021M11";"2021M12";"2022M01";"2022M02";"2022M03";"2022M04";"2022M05";"2022M06";"2022M07";"2022M08";"2022M09"
"motorbensin, totalt, inkl. etanol och bio-nafta";205010;194752;225984;224050;257733;259541;281927;267116;234063;248117;230272;226242;206489;203064;223618;244271;248698;260686;289934;266087;238092;238867;215460;220555;206510;203521;218782;199684;220580;251099;278548;267406;233347;232504;191294;196532;181119;187362;206032;211994;224051;249961;270843;252032;239698;229469;216856;223914;186323;187369;224887;213929;240888;242658;264215;257868;225850
"andel l�ginblandad f�rnybar bensin  (%)";5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;4;5;5;5;4;4;4;5;8;9;9;9;9;9;10;9;9;10;9;9;9;10
"varav l�ginblandad etanol";9669;9345;10765;10579;12039;12725;13078;12536;11038;11619;10898;10765;10125;10300;10564;11374;11799;12765;12357;12566;11222;11186;10027;9994;9731;9045;9500;9174;9819;11553;12871;12637;10339;10268;8265;8446;7847;8169;8881;8808;9265;9543;12010;18561;20348;19217;18997;19719;16761;17005;19692;19056;22686;21788;24340;24067;20627
"ren etanol";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"totalt f�rnybar bensin";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;12305;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"varav l�ginblandad bio-nafta";707;322;1090;522;455;508;448;220;265;193;173;120;74;74;65;261;232;284;371;324;242;228;99;28;309;22;419;487;632;742;928;849;883;544;130;135;736;528;1300;656;142;17;414;2015;2193;959;498;75;914;1481;599;..;613;746;691;115;2203
"ren bio-nafta";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"ren annan bio-bensin";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"E85, totalt";2574;2650;2709;6026;7286;10007;8310;8566;6925;6952;5295;3036;2379;2683;3226;5812;6909;7002;5733;5389;4689;4134;3015;2227;2410;2554;1710;2254;2942;3199;3279;2497;1984;1494;1669;1438;1343;1198;2056;3377;3396;3218;3605;3543;3060;2823;1218;464;968;1389;1976;1831;1906;2364;2128;2159;1378
"etanol i E85";1980;2038;2089;4885;6089;8389;6981;7168;5787;5774;4118;2346;1846;2120;2525;4750;5804;5886;4836;4520;3870;3361;2361;1704;1873;1972;1351;1884;2474;2736;2754;2090;1660;1194;1292;1122;1051;930;1612;2777;2794;2652;3020;2984;2548;2231;973;362;745;1085;1575;1502;1557;1941;1750;1778;1141
"ED95, totalt";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;74;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"etanol i ED95";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;64;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"ren FAME";4212;4837;5530;5108;6316;6756;7599;10112;10410;12002;11476;10428;12943;13570;13920;13887;13313;14012;11642;13238;15231;16265;15036;13635;10283;10485;11446;8904;9240;5394;12414;9808;10022;10035;9890;10538;7584;8344;8852;8017;9727;7832;6371;6010;8653;6948;6487;5744;5036;4599;6147;5038;5157;4769;4777;5324;7065
"ren HVO";46560;41268;48359;43577;47379;44631;18270;19656;24478;19844;23458;19691;21475;18958;19393;17897;19471;17761;16384;17562;18300;19881;19248;16581;16304;17016;19401;16474;16325;17058;13029;14801;19746;19420;18890;18278;19073;20358;21944;20435;19107;20331;18711;19871;18299;19827;22718;21543;19397;17573;18247;16184;17597;14516;13759;14130;14695
"totalt biodiesel";106164;105116;119818;114877;125788;127380;115169;128829;128619;130097;122986;94958;134870;137447;149799;152623;156008;133909;126309;138269;137472;137628;126170;86834;114479;121126;145085;125963;119664;125752;120191;120728;125614;112804;97724;85738;110706;133388;137781;141950;131114;116151;124121;142975;147035;133812;121727;113103;130975;140363;142756;145045;166468;168027;154583;171435;186541
"varav l�ginblandad FAME";16629;16739;18921;20355;23928;24368;25612;27952;27160;28630;25100;21006;23988;24788;25971;26631;27479;26059;23925;27752;27234;28559;26540;20587;21270;20047;23838;21483;23494;23537;22438;25112;23747;23601;21055;19603;20526;21432;22361;22446;21170;22048;21792;21083;21263;17814;15199;14888;15520;19937;23781;25576;30221;28742;26649;28410;29230
"ren annan biodiesel";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"varav l�ginblandad HVO";38763;42272;47008;45837;48165;51625;63688;71109;66571;69621;62952;43833;76464;80131;90515;94208;95745;76077;74358;79717;76707;72923;65346;36031;66622;73578;90400;79102;70605;79763;72310;71007;72099;59748;47889;37319;63523;83254;84624;91052;81110;65940;77247;96011;98820;89223;77323;70928;91022;98254;94581;98247;113493;120000;109398;123571;135551
"diesel/EO1, totalt, inkl. FAME och HVO";361958;376604;419551;379714;420306;430748;425681;472236;451257;517669;446336;447098;448854;427368;449128;448588;475240;443353;453829;457103;487192;500799;462595;422328;395237;416044;461517;417946;405113;438330;403278;451117;463446;478452;360707;407101;392515;442437;442213;419081;441417;465737;437952;451375;484796;447885;439884;445364;361501;397522;449778;396082;444227;414044;384712;427532;440216
"andel l�ginblandad diesel (%)";15;15;15;17;17;17;21;21;20;19;19;14;22;24;25;26;25;23;21;23;21;20;19;13;22;22;24;24;23;23;23;21;20;17;19;14;21;23;24;27;23;18;22;25;24;23;21;19;29;30;26;31;32;36;35;36;37
"totalt fordonsgas";13070687;12178753;13367539;12789302;13495857;12181033;11670519;12740702;12723692;13720120;13377214;12565914;13498745;12376869;14141603;13615077;14382964;12715633;11597615;12855597;12893599;12878003;13491179;12807443;13233316;12713763;12479646;11043053;10861744;11723715;11569703;12720987;12095023;12783000;12439389;11895886;12409585;12498099;13656705;12351546;12694377;12133896;11332759;11973179;13267865;13095246;13013541;12975675;12760977;12195417;13958109;13012977;13415163;12325630;11217855;12405990;12907146
"varav biogas";11989161;11243973;12195572;11702011;12471485;11238982;10781130;11605294;11762873;12667062;12510941;11869199;12764955;11660173;13403604;13017654;13716338;12111075;11097063;12196842;12197521;11989354;12803726;12132927;12600830;12114104;12014597;10610200;10476537;11253959;11119399;12233877;11579270;12185285;11855824;11235778;11783232;11814577;13136972;11910789;12238692;11690809;10982247;11624863;12884812;12702443;12630533;12596621;12224311;11744362;13399337;12617186;12808909;11833405;10879625;11938133;12469690
